Index, Raw, Filtered
941, 1559.29, 1561.38
942, 1559.39, 1561.39
943, 1559.29, 1561.38
944, 1559.29, 1561.36
945, 1559.19, 1561.32
946, 1558.81, 1561.21
947, 1559.19, 1561.22
948, 1559.00, 1561.17
949, 1558.91, 1561.11
950, 1559.00, 1561.07
951, 1558.71, 1560.98
952, 1558.91, 1560.95
953, 1558.91, 1560.93
954, 1559.10, 1560.95
955, 1559.19, 1560.99
956, 1559.29, 1561.05
957, 1559.00, 1561.02
958, 1559.29, 1561.07
959, 1559.10, 1561.07
960, 1559.10, 1561.07
961, 1559.00, 1561.04
962, 1559.10, 1561.04
963, 1558.91, 1561.00
964, 1559.00, 1560.99
965, 1558.71, 1560.92
966, 1558.91, 1560.91
967, 1559.00, 1560.92
968, 1558.71, 1560.86
969, 1559.00, 1560.88
970, 1558.33, 1560.75
971, 1559.00, 1560.80
972, 1559.10, 1560.85
973, 1558.62, 1560.79
974, 1558.71, 1560.77
975, 1559.00, 1560.81
976, 1558.71, 1560.79
977, 1559.00, 1560.83
978, 1558.91, 1560.85
979, 1558.71, 1560.82
980, 1558.71, 1560.79
981, 1559.00, 1560.85
982, 1558.81, 1560.85
983, 1558.71, 1560.82
984, 1558.52, 1560.76
985, 1558.71, 1560.76
986, 1559.10, 1560.84
987, 1559.00, 1560.90
988, 1558.81, 1560.89
989, 1558.71, 1560.87
990, 1559.00, 1560.92
991, 1558.81, 1560.91
992, 1558.91, 1560.92
993, 1558.71, 1560.89
994, 1558.62, 1560.85
995, 1558.91, 1560.88
996, 1558.71, 1560.86
997, 1558.81, 1560.87
998, 1559.19, 1560.96
999, 1558.62, 1560.90
1000, 1559.19, 1560.99
1001, 1559.48, 1561.12
1002, 1559.00, 1561.12
1003, 1559.00, 1561.12
1004, 1559.29, 1561.19
1005, 1558.62, 1561.09
1006, 1558.71, 1561.03
1007, 1559.10, 1561.07
1008, 1558.81, 1561.04
1009, 1559.00, 1561.07
1010, 1559.48, 1561.19
1011, 1558.81, 1561.14
1012, 1558.52, 1561.03
1013, 1559.29, 1561.11
1014, 1558.91, 1561.09
1015, 1559.48, 1561.20
1016, 1559.19, 1561.22
1017, 1558.91, 1561.17
1018, 1558.52, 1561.06
1019, 1559.00, 1561.07
1020, 1558.91, 1561.05
1021, 1558.81, 1561.01
1022, 1558.71, 1560.96
1023, 1558.91, 1560.97
1024, 1559.00, 1560.99
1025, 1558.71, 1560.95
1026, 1559.19, 1561.03
1027, 1558.81, 1561.00
1028, 1558.62, 1560.94
1029, 1558.62, 1560.89
1030, 1558.71, 1560.88
1031, 1559.29, 1561.01
1032, 1558.52, 1560.95
1033, 1558.62, 1560.93
1034, 1557.85, 1560.75
1035, 1558.81, 1560.81
1036, 1558.91, 1560.88
1037, 1559.29, 1561.02
1038, 1559.48, 1561.17
1039, 1559.29, 1561.23
1040, 1558.91, 1561.17
1041, 1559.58, 1561.26
1042, 1559.39, 1561.27
1043, 1559.39, 1561.27
1044, 1559.29, 1561.25
1045, 1558.91, 1561.15
1046, 1558.91, 1561.09
1047, 1558.62, 1560.98
1048, 1558.52, 1560.89
1049, 1558.52, 1560.81
1050, 1558.24, 1560.70
1051, 1558.33, 1560.62
1052, 1558.81, 1560.67
1053, 1558.81, 1560.72
1054, 1558.62, 1560.72
1055, 1558.81, 1560.77
1056, 1558.62, 1560.76
1057, 1559.29, 1560.91
1058, 1559.00, 1560.99
1059, 1558.14, 1560.87
1060, 1558.14, 1560.79
1061, 1558.71, 1560.85
1062, 1558.62, 1560.90
1063, 1558.91, 1560.99
1064, 1559.39, 1561.17
1065, 1559.29, 1561.29
